place	year	years	work	page	occurrences	variants	confidence	evidence	geo_id
Nordhavet	1851	1851	I Sverrig	13	1		high	head-noun+place-type	
Oberammergau	1860	1860 1861	Illustreret Tidende	200	2		high	se-kort+head-noun+located+place-type	
Olazagoitia	1863	1863	I Spanien	408	1		high	se-kort	
Olten	1858	1858	Fortællinger og Vers for Større og Mindre	153	1		high	se-kort	
Oplagssted	1854	1854	Folkekalender for Danmark	140	1		high	head-noun+place-type	
Oporto	1868	1868	Et Besøg i Portugal 1866	440	1		high	se-kort	
Oran	1863	1863	I Spanien	341	1		high	head-noun+located+place-type	
Orihuela	1863	1863	I Spanien	258	1		high	se-kort	
Ornäs	1851	1851	I Sverrig	92	1	Ørnæs	high	se-kort+place-type	
Pamplona	1863	1863	I Spanien	228	1		high	se-kort	
Pantheon	1870	1870	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1		high	in-register	geo-6619450
Parthenon	1860	1860	Berlingske politiske Avertissements-Tidende	176	1		high	in-register	geo-8354432
Pera	1851	1851	I Sverrig	61	1		high	head-noun+located+place-type	
Perpignan	1863	1863	I Spanien	220	1		medium	located+place-type	
Pinieskov	1863	1863	I Spanien	354	1		high	se-kort+head-noun+located+place-type	
Pisa	1870	1870	Breve fra og til Hans Christian Ørsted, 2. Samling	490	1		high	in-register+se-kort	geo-3170647
Plaza de Oriente	1863	1863	I Spanien	384	1		high	head-noun+place-type	
Plaza Nueva	1863	1863	I Spanien	302	1		high	head-noun+place-type	
Pompeji	1860	1860 1868	Folkekalender for Danmark	187	2		medium	located+place-type	
Porphyr-Værket	1851	1851	I Sverrig	97	1		high	se-kort+place-type	
Prado	1863	1863	I Spanien	379	1		high	head-noun+place-type	
Pyrenæer	1863	1863	I Spanien	220	1		high	head-noun+located+place-type	
Ragaz med Bad-Pfäffers	1858	1858	Fortællinger og Vers for Større og Mindre	153	1		high	se-kort+place-type	
Rammelsberg	1851	1851	I Sverrig	124	1		high	head-noun+place-type	
Reuss	1861	1861	Illustreret Tidende	210	1		high	se-kort+head-noun+place-type	
Rhinen	1851	1851	I Sverrig	118	1		medium	located+place-type	
Rhinfald	1858	1858	Fortællinger og Vers for Større og Mindre	153	1		high	se-kort+place-type	
Riddarholmen	1851	1851	I Sverrig	68	1		high	head-noun+place-type	
Riddarholmskyrkan	1851	1851	I Sverrig	58	1	Ridderholms-Kirken	medium	located+place-type	
