place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
Sandviken	Sandwik(s-Hyttorna)	Sandviken; se kort 2.	1851	1851	15	I Sverrig	93	1	v15:93 (1851)	high	se-kort	
Sangerfesten paa Vartburg	Sangerfesten paa Vartburg	en digterkappestrid, der ifølge sagnet fandt sted på Wartburg Slot i Tyskland 1207.	1846	1846	16	Mit eget Eventyr uden Digtning	285	1	v16:285 (1846)	medium	located+place-type	
Sangerfesten … Riddersal	Sangerfesten … Riddersal	en digterkappestrid, der ifølge sagnet fandt sted på Wartburg Slot i Tyskland 1207.	1851	1851	15	I Sverrig	22	1	v15:22 (1851)	medium	located+place-type	
Sanit Sulpice	Sanit Sulpice	kirke i Paris.	1836	1836	4	O. T.	423	1	v4:423 (1836)	high	head-noun+located+place-type	
Sankt Annaplads	Sankt Annaplads	Hartmann boede på Sankt Annæ Plads, tæt ved Amalienborg i København.			8	(untitled)	435	1	v8:435 ()	medium	located+place-type	
Sankt Helena	Sanct Helene	Sankt Helena, ø i Sydatlanten, hvortil Napoleon 1. blev forvist efter slaget ved Waterloo 1815.	1868	1868	3	Gudfaders Billedbog	182	1	v3:182 (1868)	medium	located+place-type	
Sankt Petersborg	Petersburg	Sankt Petersborg, Ruslands næststørste by og på H.C. Andersens tid Ruslands hovedstad. Har ændret navn flere gange. I 1914 ændredes navnet til Petrograd, i 1924 til Leningrad og først i 1991 fik byen sit oprindelige navn igen.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	147	1	v14:147 (1831)	medium	located+place-type	
Sanssouci	den verdensberømte Mølle ved Sanssouçi	Sanssouci; slot i Potsdam (se kort), opført 1745-1747 som sommerresidens for Frederik 2. den Store. I nærheden af slottet blev i 1736 opført en mølle, der dog forfaldt med årene, således at der i 1790 kunne opføres en ny og stærkere mølle sammesteds. Møllen blev kendt for den fortælling, som opstod kort efter Frederik 2. den Stores død og som berettede, at Frederik skulle have været så irriteret over larmen fra møllen, at han forsøgte at købe den for at rive den ned. Da mølleren ikke ville sælge, truede Frederik ham med sin kongelige magt. Mølleren afviste dog Frederik med, at loven var på hans side, og dermed blev møllen stående.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	172	1	v14:172 (1831)	high	se-kort+head-noun+located+place-type	geo-6295638
Sant’ Agata	Santa Agatha	Sant’ Agata, lille by midtvejs mellem Formia og Capua.	1842	1842	14	En Digters Bazar	341	1	v14:341 (1842)	medium	located+place-type	
Santa Croce	Santa Croce	klosterkirke i Firenze.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	132	1	v17:132 (1855)	high	head-noun+located+place-type	
Santa Cruz de Mudela	Santa Cruz de Mudela	se kort.	1863	1863	15	I Spanien	376	1	v15:376 (1863)	high	se-kort	
Santa Fé	Santa-Fé	Santa Fé, by ca. 9 km øst for Granada.	1863	1863	15	I Spanien	290	1	v15:290 (1863)	medium	located+place-type	
Santa Maria	Santa Maria	se kort.	1868	1868	15	Et Besøg i Portugal 1866	468	1	v15:468 (1868)	high	se-kort	
Santarem	Santarem	se kort.	1868	1868	15	Et Besøg i Portugal 1866	443	1	v15:443 (1868)	high	se-kort	
Sargans	Sarganz(-Dalen)	Sargans; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort	
Sava	Sava	flod, der flyder gennem Slovenien, Kroatien, Bosnien og Nordserbien.	1842	1842	14	En Digters Bazar	544	1	v14:544 (1842)	high	in-register+head-noun+located+place-type	geo-786058
Savoyen	Savoyen(s)	kongerige i det bjergrige grænseområde mellem Frankrig og Italien.	1862	1862 1869	2 18	Iisjomfruen	420	2	v2:420 (1862); v18:15 (1869)	high	head-noun+located+place-type	
Schaffhausen	Schaffhausen	by ved Rhinen; se kort.	1858	1858	15	Fortællinger og Vers for Større og Mindre	153	1	v15:153 (1858)	high	se-kort+head-noun+located+place-type	
Schandau	Schandau	Bad Schandau. Mindre by med kurbadested; se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	158	1	v14:158 (1831)	high	se-kort	
Scheveningen	Scheweningen | Scheveningen	Scheveningen, lille fiskerby ved Haag i Nordholland. ¶ landsby i Haags nordlige udkant, berømt kurog badeby.	1849	1849 1869	5 18	De to Baronesser	422	2	v5:422 (1849); v18:29 (1869)	high	located+place-type+head-noun	
Schneiderloch	Sneiderloch	Schneiderloch, (tysk) skrædderhul.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	159	1	v14:159 (1831)	high	in-register	
Schreckhorn	Schreckhorn	egentlig to bjergtoppe på Finsteraarhorn i Berneralperne på henholdsvis 4070 og 3494 m.			2	(untitled)	391	1	v2:391 ()	medium	located	
Schönbrunn	Schönbrunn	kejserligt lystslot sydvest for Wien. ¶ kejserligt lystslot sydvest for Wien, hvor Napoleon havde sit hovedkvarter i 1805 og 1809.	1837	1837 1855	5 17	Kun en Spillemand	219	2	v5:219 (1837); v17:164 (1855)	medium	located+place-type	
Scilla	forfalden By	Scilla; se kort.	1842	1842	14	En Digters Bazar	356	1	v14:356 (1842)	high	se-kort	
Scirocco	Scirocco(luft) | Scirocco	kraftig, varm ørkenvind fra Nordafrika. ¶ varm ørkenvind fra Nordafrika.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	237	2	v18:237 (1869); v18:258 (1869)	medium	located	
Scutari	Scutari | Scutari(s)	nuværende Üsküdar, bydel på Bosporusstrædets østbred, i Istanbuls asiatiske del. ¶ se kort. ¶ det nuværende Üsküdar, oldtidens Chrysopolis, bydel i Istanbul på den asiatiske side af Bosporus.	1842	1842 1855	14 17	En Digters Bazar	454	3	v14:454 (1842); v14:466 (1842); v17:219 (1855)	high	located+place-type+se-kort	
Seefeld	Seefeldt	Seefeld; se kort.	1842	1842	14	En Digters Bazar	253	1	v14:253 (1842)	high	se-kort	
Seesand	Seesand	den lille ø, Søsand, syd for Amrum.	1849	1849	5	De to Baronesser	397	1	v5:397 (1849)	high	head-noun+located+place-type	
Seiersgudinden	Seiersgudinden	øverst på Thorvaldsens Museum er opstillet en statue af den romerske sejrsgudinde Viktoria med sit firspand: Victoria i en kvadriga, 1845-1848 støbt i bronze af J.B. Dalhoff (1800-1890) efter model af H.W. Bissen (1798-1868) fra 1844-1845.	1844	1844	9	Berlingske politiske og Avertissements-Tidende	439	1	v9:439 (1844)	medium	located	
Seishede	Seishede	hedeområde sydøst for Silkeborg.	1855	1855	2	Klods-Hans	126	1	v2:126 (1855)	medium	located+place-type	
Semiramis	Semiramis	assyrisk sagndronning, som ifølge sagnet skal have anlagt hængende haver på Babylons terrasser. Andre sagn tilskriver Nebukadnezar æren.	1835	1835	4	Improvisatoren	265	1	v4:265 (1835)	medium	located+place-type	
Serail	Serail	palads, harem. ¶ (her) palads.	1837	1837 1842	5 14	Kun en Spillemand	69	2	v5:69 (1837); v14:518 (1842)	high	head-noun+place-type	
Serra da Arrábida	St. Luis og Monte Arrabida	Serra da Arrábida, kæde af kalkstensbjerge langs kysten mellem Sesimbra og Setúbal.	1868	1868	15	Et Besøg i Portugal 1866	431	1	v15:431 (1868)	medium	located+place-type	
Sestri Levante	Sestri di Levante	Sestri Levante, by 40 km sydøst for Genua.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	129	1	v17:129 (1855)	medium	located+place-type	
Setubal	Setubal	på engelsk St. Ubes eller St. Ybes; en af landets ældste byer; se kort.	1868	1868	15	Et Besøg i Portugal 1866	439	1	v15:439 (1868)	high	se-kort+place-type	
Sevel	Sevel	degn og lærer ved Vor Frue kirkeskole i Svendborg på romanens tid.	1837	1837	5	Kun en Spillemand	54	1	v5:54 (1837)	medium	located+place-type	
Sevilla	Sevilla	se kort.	1863	1863	15	I Spanien	252	1	v15:252 (1863)	high	se-kort	
Siden ere Aaringer gaaede … gik til Amerika	Siden ere Aaringer gaaede … gik til Amerika	1850 påbegyndte Jenny Lind en to års koncertrejse til Amerika, under hvilken hun 1852 i Boston ægtede pianisten Otto Goldschmidt; H.C. Andersen genså Jenny Lind i Wien i 1854.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	36	1	v18:36 (1869)	medium	located	
Siena	Siena	se kort. ¶ italiensk by 50 km syd for Firenze, hvortil H.C. Andersen ankom 4. april 1834.	1842	1842 1855	14 17	En Digters Bazar	281	2	v14:281 (1842); v17:154 (1855)	high	se-kort+located+place-type	
Sierra Morena	Sjerra Morena(s)	Sierra Morena, bjergkæde i Sydvestspanien (se kort), som stadig i 1800-tallet var tilholdssted for røverbander.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort+located+place-type	
Sierra Nevada	Sierra Nevada(s)	bjergkæde ved Granada, se kort.	1863	1863	15	I Spanien	291	1	v15:291 (1863)	high	se-kort+head-noun+located+place-type	
Sifnos	Siphanto, Serpho og Thermia	Sifnos, Serifos og det nu brugte: Kithnos; se kort.	1842	1842	14	En Digters Bazar	377	1	v14:377 (1842)	high	se-kort	
Sigtuna	Sigtuna	en af Sveriges ældste byer og biskopsæder. Se kort 2.	1851	1851	15	I Sverrig	55	1	v15:55 (1851)	high	se-kort+place-type	
Silistra	Silistria	Silistra, grænseby ved Donau i det nuværende Bulgarien; se kort.	1842	1842	14	En Digters Bazar	498	1	v14:498 (1842)	high	se-kort+located+place-type	geo-727221
Silistria	Silistria	Silistra blev en vigtig tyrkisk befæstning og handelscenter i 1400-tallet; se kort.	1842	1842	14	En Digters Bazar	510	1	v14:510 (1842)	high	se-kort	
Siljan	Siljan(s) | Siljans Søen	se kort 1-2. ¶ Siljan; se kort 1-2.	1851	1851	15	I Sverrig	20	2	v15:20 (1851); v15:85 (1851)	high	se-kort	
Silketøier fra Damask	Silketøier fra Damask	den syriske hovedstad Damaskus var fra gammel tid kendt for sine silkestoffer.	1831	1831	10	Skibet	122	1	v10:122 (1831)	high	head-noun+place-type	
Sindbad Søfareren	Sindbads Reiser	Sindbad Søfareren, person i Tusind og én nat, der fortæller om sine syv fantastiske rejser.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	220	1	v9:220 (1829)	medium	located	
Sintra	Cintra	Sintra, gammel kongeby 32 km nordvest for Lissabon. ¶ Sintra, gammel kongeby i bjergene nordvest for Lissabon. Her besøgte H.C. Andersen 26. juli-8. august José O’Neill, der levede ugift som rentier, i Santa Maria, en lille forstad lige over Sintra.	1868	1868 1869	15 18	Et Besøg i Portugal 1866	429	2	v15:429 (1868); v18:315 (1869)	medium	located+place-type	
Siracusa	Syracusa	Siracusa; se kort.	1842	1842	14	En Digters Bazar	359	1	v14:359 (1842)	high	se-kort	geo-2523083
Sirok	Sirok	scirocco (italiensk), varm ørkenvind fra Sahara, der oftest i sensommeren kan blæse op over middelhavsegnene. Her brugt spøgende om den tyske blæst.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	171	1	v14:171 (1831)	medium	located	
sit Gods Mem … Godset Sæby	sit Gods Mem … Godset Sæby	godset Mem i Tåby (Östergötland), som Edvard Fredrik von Saltza erhvervede sig 1803 og beboede fra 1804. På godset Sæby syd for Linköping opholdt H.C. Andersen sig 14.-20. juli 1849.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	96	1	v18:96 (1869)	high	head-noun+place-type	
Skage	Skage(n)	odde.			8	(untitled)	380	1	v8:380 ()	high	head-noun+place-type	
Skeppsholmen	Skibsholmen	Skeppsholmen; lille ø i Saltsjön i det centrale Stockholm. I perioden 1634-1968 var øen Stockholms flådestation.	1851	1851	15	I Sverrig	57	1	v15:57 (1851)	high	head-noun+located+place-type	
Skibet … Hvirvelvind	Skibet … Hvirvelvind	jf. Oehlenschlägers digt »Til Havet« i kapitel 29 af Øen i Sydhavet, 1824.	1832	1832	7	Vignetter til danske Digtere	324	1	v7:324 (1832)	medium	located+place-type	
Skibet … Oehlenschläger	Skibet … Oehlenschläger	fra Oehlenschlägers digt »Til Havet« i kapitel 29 af Øen i Sydhavet, 1824.	1831	1831	7	Phantasier og Skizzer	252	1	v7:252 (1831)	medium	located+place-type	
Skolen	Skolen	Borgerdydskolen på Christianshavn (nuværende Vestre Borgerdyd Gymnasium).	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	124	1	v18:124 (1869)	medium	located+place-type	
Skåne	Skaane	Skåne; det sydligste landskab i Sverige.	1851	1851	15	I Sverrig	13	1	v15:13 (1851)	high	head-noun+located+place-type	
Slaget ved Waterloo	Slaget ved Waterloo	by 15 km syd for Bruxelles, hvor Napoleon led sit afgørende nederlag 18. juni 1815.	1868	1868	15	Et Besøg i Portugal 1866	434	1	v15:434 (1868)	high	head-noun+located+place-type	
Slavelænker	Slavelænker	Cervantes blev 1575 taget til fange af sørøvere og solgt som slave i Algier, han blev frikøbt igen i 1780.	1863	1863	15	I Spanien	385	1	v15:385 (1863)	medium	located	
Slavonier	Slavonier	indbygger i Slavonien, som var under det ungarske kongeriges herredømme.	1837	1837	5	Kun en Spillemand	219	1	v5:219 (1837)	medium	located	
Sletten ved Marathon	Sletten ved Marathon	Marathonas ca. 40 km øst for Athen, hvor Athen besejrede perserhæren 490 f.Kr.; se kort.	1842	1842	14	En Digters Bazar	420	1	v14:420 (1842)	high	se-kort	
Slien	Slien	fjord ved Slesvig, som indgik i Danmarks sydlige grænseværn fra Dannevirke over Østervolden til Eckernförde Bugt.			8	Fædrelandske Vers og Sange under Krigen	170	2	v8:170 (); v8:257 ()	high	head-noun+located+place-type	
Slot i Danmark med Hegn af Rosentræer	Slot i Danmark med Hegn af Rosentræer	lystslottet Rosenborg i Kongens Have i København, opført 1606-1634.			8	(untitled)	49	1	v8:49 ()	high	head-noun+located+place-type	
Slotspladsen	Slotspladsen	pladsen ved Christiansborg. ¶ pladsen ved Christiansborg Slot {F3-F4-E3-E4}.	1838	1838 1850	1 9	Tre Digtninger	299	2	v9:299 (1838); v1:462 (1850)	high	head-noun+located+place-type	
Slotsruinen	Slotsruinen	slottet er udbygget utallige gange siden 900-tallet; det brændte 1811 og blev først rekonstrueret 1953-68.	1842	1842	14	En Digters Bazar	561	1	v14:561 (1842)	high	head-noun+place-type	
Slottet	Slottet	Sorgenfri Slot i Lyngby, opført som adeligt landsted 1705-1706 og blev i 1730 overtaget af kongehuset; Christian 8. og Caroline Amalies sommerresidens. ¶ Odense Slot. Bygget på resterne af Sankt Hans Kloster. I 1575 påbegyndte Frederik 2. en omfattende ombygning med henblik på at omdanne klostret til kongsgård. I 1720 indledte Frederik 4. en udbygning af stedet og omdøbte det til Odense Slot. I 1860 blev der indrettet museum i slottet, og i 1907 blev det overtaget af Odense Kommune. ¶ Frederiksborg Slot. Opført 1602-1625 til Christian 4.	1832	1832	8 16	Levnedsbog	69	3	v16:69 (1832); v16:128 (1832); v8:207 ()	high	located+place-type+head-noun	
Slottet Chillon	Slottet Chillon	middelalderborg ved Genèvesøen (Lac Léman) tæt ved Montreux.	1836	1836	7	Af Digte	489	1	v7:489 (1836)	high	head-noun+located+place-type	
Slottet Graasteen	Slottet Graasteen	hovedgård i Sønderjylland ved Gråsten, tilhørte på H.C. Andersens tid hertugen af Augustenborg.	1863	1863	3	Bemærkninger	374	1	v3:374 (1863)	high	head-noun+located+place-type	
Slottet Hohenschwangau	Slottet Hohenschwangau	kongeligt lystslot ved Schwangau mellem alperne og floden Lech nær grænsen til østrigsk Tyrol; slottet, som længe havde henligget som ruin, købtes 1832 af daværende kronprins Maximilian og genopførtes.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	150	1	v18:150 (1869)	medium	located+place-type	
Slottet i Pillnitz	Slottet i Pillnitz	slot ved Dresden, bygget som sommererresidens for kurfyrster og konger af Sachsen. Slottet blev 1720-1723 udvidet med to kinesisk inspirerede barokpavillioner og 1788-1826 med Neues Palais i japansk stil.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	149	1	v14:149 (1831)	high	head-noun+located+place-type	
Smyrna	Smyrna	det græske navn for Izmir; se kort. ¶ (Smirni) nu Izmir på den tyrkiske Ægæerhavskyst; se kort.	1842	1842	14	En Digters Bazar	351	3	v14:351 (1842); v14:395 (1842); v14:438 (1842)	high	se-kort	
Snurren	Snurren	formodentlig et værtshusnavn; også navn på en gade i Odense på romanens tid.	1837	1837	5	Kun en Spillemand	155	1	v5:155 (1837)	medium	located+place-type	
Sodoma og Gomorra	Sodoma og Gomorra	to byer i Palæstina, der ifølge 1. Mosebog 19 blev ødelagt af Gud på grund af indbyggernes moralske fordærvelse. ¶ to byer i Palæstina, der ifølge 1. Mosebog 19 blev ødelagt af Jahve på grund af indbyggernes moralske fordærv.	1836	1836 1853	2 4	O. T.	447	2	v4:447 (1836); v2:59 (1853)	medium	located+place-type	
Solfatara	Solfatara	vulkankrater ved Napoli.	1851	1851	15	I Sverrig	108	1	v15:108 (1851)	medium	located	
Sollerön	Soller-Øen	Sollerön; ø i Siljan.	1851	1851	15	I Sverrig	90	1	v15:90 (1851)	high	head-noun+located+place-type	
Solna	Solna	H.C. Andersen var 9. juli 1849 ved Solna kirke (nordvest for Stockholm) med Bernhard von Beskow.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	95	1	v18:95 (1869)	medium	located+place-type	
som Prinds	som Prinds	Frederik 7. havde 1826 opholdt sig i Genève med Grev Rantzau-Breitenburg som rejseledsager.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	246	1	v18:246 (1869)	medium	located	
som Ægyptens … Skuet af	som Ægyptens … Skuet af	Moses skuede ind i det forjættede land fra Nebo bjerg i Jordan, 5. Mosebog 34,1-5.	1842	1842	14	En Digters Bazar	441	1	v14:441 (1842)	medium	located+place-type	
Sophie Charlotte Hermansen	En kjøbenhavnsk Madame	Sophie Charlotte Hermansen, som siden 1816 havde boet i Odense, rejste september 1819 til København, øjensynlig i forbindelse med, at hendes søn havde bestået studentereksamen.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	39	1	v17:39 (1855)	medium	located	
Sophie Gade	Sophie … Hartmann	Sophie Gade, gift med Niels W. Gade og datter af J.P.E. Hartmann, døde 15. juni 1855 af komplikationer efter fødslen af tvillingerne Emma og Felix 20. maj; H.C. Andersen deltog i hendes begravelse 21. juni.			8	(untitled)	289	1	v8:289 ()	high	head-noun+place-type	
Sorrento	Sorrento	se kort.	1842	1842	14	En Digters Bazar	354	1	v14:354 (1842)	high	se-kort	
Spandau	Spandau	borganlæg ved Berlin, hvis ældste dele stammer fra midten af det 11. århundrede. I dag også navnet på vestlig forstad til Berlin.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	179	1	v14:179 (1831)	high	in-register+located	geo-7290252
Spanien	Tajos og Ebros … Land	Spanien; floden Tajo udspringer i Spanien og udmunder i Portugal, mens Ebro kun løber i Spanien.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	373	1	v7:373 (1833)	high	head-noun+place-type	
Spaniens Roeskilde	Spaniens Roeskilde	Roskilde Domkirke er tilsvarende den danske kongefamilies gravsted.	1863	1863	15	I Spanien	401	1	v15:401 (1863)	high	head-noun+place-type	
Sparta	Sparta	græsk by, i oldtiden det politiske centrum i bystaten af samme navn. ¶ græsk bystat, rivaliserede med Athen. Erobrede ca. 700 f.Kr. Lakedaimon og Messenien. Spartas magtposition ophørte med to nederlag til Theben i 371 og 362 f.Kr.	1842	1842 1862	3 14	En Digters Bazar	376	2	v14:376 (1842); v3:27 (1862)	high	in-register+place-type	geo-253394
Spatzier	Hr. Spatzier i Virtuosen	Spatzier, herremanden v. Borgens inspektør i P.A. Heibergs komedie Virtuosen Nr. 2, opført på Det Kongelige Teater 1793.	1848	1848	12	Kunstens Dannevirkevoldkompleks, der fra 600-1200-tallet var et forsvar ved rigets sydgrænse. Det sene Dannevirke bestod af store jordvolde, der i anden halvdel af 1100-tallet afsluttedes med Valdemarsmuren, opført i tegl af Valdemar 1. den Store. Under de slesvigske krige kom Dannevirke til at udgøre rygraden i en moderne feltstilling. Nationalromantiske forestillinger om, at Dannevirke skulle kunne holde stand over for tyskerne, gav fæstningsanlægget symbolværdi.Dannevirke	360	1	v12:360 (1848)	medium	located	
Speilkabinet … Slottet Rosenborg	Speilkabinet … Slottet Rosenborg	Rosenborg Slot {B6-B7}, opført 1606-1634; spejlkabinettet blev opført til Frederik 4. ca. 1700 efter fransk forbillede som den inderste og mest intime del af kongens suite med forbindelse til sovegemakket.	1838	1838	9	Tre Digtninger	313	1	v9:313 (1838)	high	head-noun+place-type	
Sphinx	Sphinx	fabeldyr med menneskehoved og dyrekrop; her den mægtige sfinks i ørkenen ved Giza, Ægypten.	1861	1861	2	Det nye Aarhundredes MusaMusa	386	1	v2:386 (1861)	medium	located+place-type	
Spiegelberg	Spiegelberg(s)	fæstningen Spielberg ved Brunn i Mähren, hvor Silvio Pellico havde siddet fængslet.	1837	1837	5	Kun en Spillemand	225	1	v5:225 (1837)	high	head-noun+place-type	
Spitsbergen	Spitsberg(s) | Spitsbergen	Spitsbergen; den største ø i øgruppen Svalbard i Barentshavet. ¶ øgruppe beliggende i Hvidehavet nord for Norge.	1842	1842	8 14	En Digters Bazar	498	2	v14:498 (1842); v8:20 ()	high	head-noun+place-type+located	
Spoleto	Spoleto	by nord for Rom i Appenninerne. ¶ se kort.	1835	1835 1842	4 14	Improvisatoren	311	2	v4:311 (1835); v14:289 (1842)	high	in-register+head-noun+located+place-type+se-kort	geo-3166236
Springflod	Springflod(en)	højeste flod, højvande.	1868	1868	3	Bemærkninger	382	1	v3:382 (1868)	high	head-noun+place-type	
Sprogö	Sprogö	ø midt i Storebælt.			8	(untitled)	146	1	v8:146 ()	high	head-noun+located+place-type	
St. Anna Kapel	St. Anna Kapel	her tænkes formentlig på Garnisons Kirke, der på Sankt Annæ Plads, tæt ved Bredgade.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	57	1	v17:57 (1855)	medium	located+place-type	
St. Denis	St. Denis	by nord for Paris, i hvis klosterkirke de franske kongers kister er hensat.	1836	1836	4	O. T.	401	1	v4:401 (1836)	high	head-noun+located+place-type	
St. Gallen	St. Gallen	by i Schweiz; se kort. ¶ se kort.	1842	1842 1858	14 15	En Digters Bazar	243	2	v14:243 (1842); v15:154 (1858)	high	se-kort+head-noun+located+place-type	
St. Germain	St. Germain	by i Nordfrankrig; her lå et kongeligt slot, som Ludvig 14. efter at have forlagt residensen til Versailles i 1682 overlod til den engelske konge Jakob 2., der i 1688 var blevet fordrevet pga. sine katolske sympatier. Uviljen mod katolikkerne skyldtes, at disse mistænktes for at være støttet af fremmede katolske magter, især Frankrig. Den engelske krone blev efter Jakobs flugt overdraget til den protestantiske nederlandske statholder Vilhelm af Oranien, g.m. Jakobs datter Marie.Ved Jakobs død 1701 anerkendte Ludvig 14. til englændernes forbitrelse hans søn af samme navn som engelsk konge.	1832	1832	10	Bruden fra Lammermoor	174	1	v10:174 (1832)	high	head-noun+located+place-type	
St. Hans’s Kirke	St. Hans’s Kirke	tidligere klosterkirke for johannitterordenen, bygget i 1400-tallet.	1829	1829	14	Brudstykke af en Udflugt i Sommeren 1829	59	1	v14:59 (1829)	high	head-noun+place-type	
St. Knuds Kirke	St. Knuds Kirke(taarn)	den nuværende domkirke på Klosterbakken i Odense.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	64	1	v17:64 (1855)	high	head-noun+located+place-type	
St Knuds Kirkegaard	St Knuds Kirkegaard	kirkegård ved Odense domkirke, Sankt Knuds Kirke.	1832	1832	16	Levnedsbog	61	1	v16:61 (1832)	medium	located+place-type	
St Knuds Kirketaarn	St Knuds Kirketaarn	tårnet på Odense domkirke, Sankt Knuds Kirke.	1832	1832	16	Levnedsbog	104	1	v16:104 (1832)	high	head-noun+located+place-type	
St. Knuds Kloster	St. Knuds Kloster	benediktinerkloster, stiftet af Erik Ejegod ca. 1100, lå syd for St. Knuds Kirke.	1829	1829	14	Brudstykke af en Udflugt i Sommeren 1829	54	1	v14:54 (1829)	high	head-noun+place-type	
St. Lucia	St. Lucia	gade i Napoli, hvor H.C. Andersen logerede (nr. 28).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	330	1	v17:330 (1855)	high	head-noun+located+place-type	
St. Luis	St. Luis	se kort.	1868	1868	15	Et Besøg i Portugal 1866	446	1	v15:446 (1868)	high	se-kort	
St Luzia	St Luzia	gade i Napoli; H.C. Andersen boede i nr. 28.	1846	1846	16	Mit eget Eventyr uden Digtning	323	1	v16:323 (1846)	high	head-noun+located+place-type	
staaer i Flammer	staaer i Flammer	Frederiksborg Slot brændte natten mellem den 16. og 17. december 1859.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	210	1	v18:210 (1869)	high	head-noun+place-type	
Stadt Hamburg …	Stadt Hamburg …	(tysk) Hamborg på Elbens enge, / Hvor er du statelig at skue. Citat fra den afsluttende sang i Georg Nikolaus Bärmanns (1785-1850) skuespil Bürgertreue. Ein vaterstädtisches Schauspiel in drei Akten, 1828 (borgertroskab).	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	80	1	v14:80 (1831)	high	head-noun+place-type	
Stamsæde	Stamsæde(t)	gods, hvorfra en (adelig) slægt stammer, eller som har været i dens eje i mange generationer.	1829	1829	14	Brudstykke af en Udflugt i Sommeren 1829	55	1	v14:55 (1829)	high	head-noun+place-type	
Staubbach	Staubbach	300 m højt vandfald i Lauterbrunnenthal.	1862	1862	2	Iisjomfruen	393	1	v2:393 (1862)	medium	located+place-type	
Stegeborgs Ruiner	Stegeborgs Ruiner	gods beliggende på en holm i Slätbaken. Det var oprindeligt et fæstningsanlæg fra 1200-tallet, der i de følgende århundreder blev omdannet til et kongeligt renæssanceslot, men som forfaldt fra slutningen af 1600-tallet.	1851	1851	15	I Sverrig	51	1	v15:51 (1851)	high	head-noun+located+place-type	
Steinach	Steinach	se kort.	1842	1842	14	En Digters Bazar	256	1	v14:256 (1842)	high	se-kort	
Stephan Dussan	Stephan Dussan	under Stefan Dusˇan (1308-1355, konge af Serbien 1331-1346 og kejser af serbere og grækere fra 1346) havde landet sin storhedstid. Beograd (se kort) er dog kendt helt fra oldtiden og kom under serbisk herredømme 1284.	1842	1842	14	En Digters Bazar	522	1	v14:522 (1842)	high	se-kort	
Stephans Taarnet	Stephans Taarnet	tårnet på Wiens domkirke St. Stephan, påbegyndt i 1100-tallet og ombygget i gotisk stil i 1300- og 1400-tallet.	1842	1842	14	En Digters Bazar	563	1	v14:563 (1842)	high	head-noun+located+place-type	
Stifts-Provsten	Stifts-Provsten	Stephan Tetens var fra 1811-1819 sognepræst ved St. Knuds Kirke i Odense samt stiftsprovst for Fyn.	1846	1846	16	Mit eget Eventyr uden Digtning	192	1	v16:192 (1846)	medium	located+place-type	
Stiftsprovsten … Capellanen	Stiftsprovsten … Capellanen	Stephan Tetens var fra 1811 sognepræst ved St. Knuds Kirke i Odense samt stiftsprovst for Fyn; sognekapellan ved kirken var fra 1816 Andreas Frederik Wiberg.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	32	1	v17:32 (1855)	medium	located+place-type	
