place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
en Critiker … Fortællingen	en Critiker … Fortællingen	H.C. Andersen hentyder øjensynligt til C. Rosenbergs anmeldelse af Nye Eventyr og Historier. Fjerde Samling, trykt i Dansk Maanedsskrift, 1. bind, 1860, s. 419-421.	1868	1868	3	Bemærkninger	385	1	v3:385 (1868)	medium	located	
en gammel Herregaard	en gammel Herregaard	Nakkebølle. Hovedgård beliggende 7 km øst for Faaborg.	1832	1832	16	Levnedsbog	164	1	v16:164 (1832)	medium	located+place-type	
en gammel Præst	en gammel Præst	formodentlig Niels Studsgaard Fuglsang, sognepræst ved St. Mikkels Kirke.	1846	1846	16	Mit eget Eventyr uden Digtning	212	1	v16:212 (1846)	medium	located+place-type	
en græsk Kirke	en græsk Kirke	domkirken Mitrópolis opført 1842-1862.	1842	1842	14	En Digters Bazar	386	1	v14:386 (1842)	high	head-noun+place-type	
En Hr Boas	En Hr Boas	forfatteren Eduard Boas havde 1843 på vej fra Norge besøgt København, hvor H.P. Holst tog sig af ham. Sine rejseindtryk samlede han i bogen In Scandinavien. Nordlichter, 1845, der afsluttes med en artikel »Die dänische Poesie der Gegenwart«, tidligere trykt i tidsskriftet Die Grenzboten. H.C. Andersen omtales s. 314-321. If. Boas er af danske digtere kun Oehlenschläger og Andersen kendt i Tyskland; imidlertid er der andre, der vurderes betydeligt højere i Danmark. Boas genfortæller derpå H.C. Andersens biografi (efter Jenssen), roser eventyrene, men kritiserer romanerne (navnlig Kun en Spillemand) og En Digters Bazar, især fordi H.C. Andersen her stadig stiller sit eget jeg i forgrunden. Forfængelighed går som en rød tråd gennem alle hans værker, »und eitel ist Andersen über die Maaßen. Das Lob gehört ihm zur Lebesluft, jeder Tadel verletzt ihn schneidend (...) Er kennt alle die kleinen Toilettenkünste der Literatur, macht sich den theatralischen Apparat gehörig zu Nutz, und weiß sogar mit seiner romantischen Lebensgeschichte zu kokettieren« (s. 319-320).	1846	1846	16	Mit eget Eventyr uden Digtning	277	1	v16:277 (1846)	medium	located+place-type	
En Kirke … Piazza navona	En Kirke … Piazza navona	kirken på Piazza Navona er Sant’ Agnese in Agone, der formodentlig er bygget i 700-tallet og ombygget i 1672.	1842	1842	14	En Digters Bazar	318	1	v14:318 (1842)	high	head-noun+located+place-type	
en lille Sum	en lille Sum	if. manuskriptet til Mit Livs Eventyr 200 rigsdaler, tjent på Fuglen i Pæretræet.	1846	1846	16	Mit eget Eventyr uden Digtning	270	1	v16:270 (1846)	medium	located	
en lykkelig Moder	en lykkelig Moder	Riborg fik ni børn. ¶ Riborg fik i alt ni børn.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	224	2	v16:224 (1846); v17:87 (1855)	high	head-noun+place-type	
en Præst	en Præst	muligvis sognepræst i Osted, Gustav Ludvig Schiern.	1832	1832	16	Levnedsbog	128	1	v16:128 (1832)	medium	located	
en Roman	en Roman	Slottet ved Rhinen, 1845. I romanen optræder den forfængelige digter Eginhard, der ender som sindssyg. Figuren er et ætsende portræt af H.C. Andersen, der da også følte sig ramt.	1846	1846	16	Mit eget Eventyr uden Digtning	238	1	v16:238 (1846)	high	head-noun+located+place-type	
en slank Søile	en slank Søile	selve søjlen stammer fra Caracallas termer i Rom, statuen af retfærdighedsgudinden fra 1581 er af Francesco del Tadda.	1862	1862	3	Metalsvinet	24	1	v3:24 (1862)	medium	located	
Erindrer De	Erindrer De	»Erindrer De? Det var i Kongens Have«, sang fra J.L. Heibergs vaudeville Nei, 1836, med melodi af H. Rung.			8	(untitled)	183	1	v8:183 ()	medium	located	
Erzgebirge	Erzgebirge	bjergkæde på grænsen mellem Tyskland og Tjekkiet.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	155	1	v14:155 (1831)	high	head-noun+located+place-type	
Escorial	Escurial(s)	Escorial, by ca. 50 km nordvest for Madrid med et storslået slots- og klosteranlæg, bygget 1563-1584 for Filip 2.	1836	1836	11	Skilles og mødes	177	1	v11:177 (1836)	medium	located+place-type	
Estrella	Estrella	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
et Akropolis	et Akropolis	borg i de oldgræske byer, ofte placeret på et højdedrag.	1868	1868	15	Et Besøg i Portugal 1866	445	1	v15:445 (1868)	high	head-noun+place-type	
Et herligt Slot	Et herligt Slot	Frederiksborg Slot i Nordsjælland, påbegyndt under Frederik 2. i 1560, men størstedelen af slottet blev opført under Christian 4. fra starten af 1600-tallet, på samme sted i slotssøen, hvor den middelalderlige herregård Hillerødsholm tidligere havde ligget.			8	(untitled)	323	1	v8:323 ()	high	head-noun+located+place-type	
et Slot i Østerige	et Slot i Østerige	tekst og melodi til folkevisen »Der ligger et slot i Østerrig« findes i Rasmus Nyerups Udvalg af danske Viser fra Midten af det 16. Aarh. til henimod Midten af det 18., bind I-II, 1821.	1857	1857	6	»At være eller ikke være«	102	1	v6:102 (1857)	medium	located+place-type	
Etna	Ætna	Etna, vulkan på Sicilien; se kort. ¶ Etna; vulkan på Sicilien.	1842	1842 1855	14 17	En Digters Bazar	228	2	v14:228 (1842); v17:216 (1855)	high	se-kort+head-noun+located+place-type	
Ettersburg	Ettersburg	jagtslottet Schloß Ettersburg i Thüringerwald nordvest for Weimar.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	278	1	v17:278 (1855)	high	head-noun+place-type	
Euphrat	Euphrat	floden Eufrat udsprang if. 1. Mosebog 2, 1014 i Edens have, som Adam og Eva efter syndefaldet blev uddrevet af (1. Mosebog 3,16-24); jf. evt. også 2. Krønikebog 35,20-25. ¶ flod i det nuværende Irak, som det vidtstrakte osmanniske rige også omfattede.	1842	1842	12 14	En Digters Bazar	482	2	v14:482 (1842); v12:270 ()	high	head-noun+place-type	
Evia	Euboea(s)	Evia, se note til s. 311.	1842	1842	14	En Digters Bazar	421	1	v14:421 (1842)	high	in-register	
Evrotas	Eurotas	Evrotas, flod; se kort; også navnet på Lakedaimons forgænger.	1842	1842	14	En Digters Bazar	376	1	v14:376 (1842)	high	se-kort	
Eyemouth	Eymouth	Eyemouth, fiskerhavn på Skotlands østkyst.	1832	1832	10	Bruden fra Lammermoor	175	1	v10:175 (1832)	medium	located+place-type	
F.L.B. Zeuthen	Zeuthen	F.L.B. Zeuthen, sognepræst i Sorø 1849-1860.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	250	1	v18:250 (1869)	medium	located	
FabrikenFabrikken	FabrikenFabrikken	Silkeborg Papirfabrik.	1857	1857	6	»At være eller ikke være«	39	1	v6:39 (1857)	high	head-noun+place-type	
Fahlun	Fahlun(s)	by i Dalarne, Sverige.	1850	1850	1	Fugl Phønixifølge græsk mytologi en fugl, som efter en vis tid brænder sig selv op, men derpå genopstår af sin egen aske.Fugl Phønix	488	1	v1:488 (1850)	high	head-noun+located+place-type	
Fahlun … dansk Udgave	Fahlun … dansk Udgave	by i Dalarne, Sverige, hvor Fodreise blev udgivet 1841 af P.A. Huldbergs Forlag i samlingen »Danske Klassiker«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	80	1	v17:80 (1855)	high	head-noun+located+place-type	
Fallerslebertor	Falleberthor	Fallerslebertor, byport (nu nedlagt) og bro over Okerfloden i Braunschweig.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	92	1	v14:92 (1831)	high	in-register+place-type	
Falun	Fahlun(s) | Fahlun	Falun; se kort 1-2.	1851	1851	15	I Sverrig	22	2	v15:22 (1851); v15:108 (1851)	high	se-kort	
Familien	Familien	Borreby ejedes af cand.jur. Adolph Frederik Holten Castenschiold, gift med en datter af den unge H.C. Andersens velgører, notarius publicus, etatsraad G.H. Olsen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	1	v18:224 (1869)	high	head-noun+place-type	
Ferrara	Ferrara	by på Posletten.	1835	1835	4	Improvisatoren	335	1	v4:335 (1835)	high	head-noun+located+place-type	
Fest for »Madonna del Arco«	Fest for »Madonna del Arco«	jf. Dagbogen 1. juni 1846; madonnabilledet står i en bue på en bro på Monte Virginie ved Napoli. August Bournonville var på sin udenlandsrejse i 1841 i Napoli og skildrede sine indtryk af festen for Madonna del àrco i Mit Theaterliv, 1848, s. 160-162; over disse indtryk komponerede han 3. akt af balletten Napoli, der opførtes 1. gang på Det Kgl. Teater 29. marts 1842. H.C. Andersen var 29. maj 1846 vendt tilbage til Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	332	1	v17:332 (1855)	medium	located+place-type	
Fezzan	Fezzan(s)	provins i Libyen.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	387	1	v9:387 (1840)	high	head-noun+located+place-type	
Figueras	Figueras	se kort.	1863	1863	15	I Spanien	223	1	v15:223 (1863)	high	se-kort	
Finderup	Finnerup	Finderup; by sydvest for Viborg.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	429	1	v7:429 (1833)	high	head-noun+located+place-type	
Firenze	Florents	Firenze; se kort.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1	v15:491 (1870)	high	se-kort	
